ProteinID_x,Description,SignalP,Cwpred,TMHMM,DeepLocPro,ProteinID_clean,ProteinID_y,Pfam,SignalP_score,Cwpred_score,TMHMM_score,DeepLoc_score,Pfam_score,raw_sum,available_max,score100
WP_001829285.1 MULTISPECIES_ tryptophan--tRNA ligase _Staphylococcus_,tryptophan--tRNA ligase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829285.1,,,0,6,15,0,,21,70,30
WP_001829290.1 MULTISPECIES_ metal-sulfur cluster assembly factor _Staphylococcus_,metal-sulfur cluster assembly factor ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829290.1,,,0,6,15,0,,21,70,30
WP_001829311.1 MULTISPECIES_ RluA family pseudouridine synthase _Staphylococcus_,RluA family pseudouridine synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829311.1,,,0,6,15,0,,21,70,30
WP_001829340.1 MULTISPECIES_ glutamate synthase subunit beta _Staphylococcus_,glutamate synthase subunit beta ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829340.1,,,0,6,15,0,,21,70,30
WP_001829342.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829342.1,,,0,6,15,0,,21,70,30
WP_001829349.1 MULTISPECIES_ DUF2294 domain-containing protein _Staphylococcus_,DUF2294 domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829349.1,,,0,6,15,0,,21,70,30
WP_001829355.1 MULTISPECIES_ VOC family protein _Staphylococcus_,VOC family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829355.1,,,0,6,15,0,,21,70,30
WP_001829367.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829367.1,,,0,6,15,0,,21,70,30
WP_001829377.1 MULTISPECIES_ recombination mediator RecR _Staphylococcus_,recombination mediator RecR ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829377.1,,,0,6,15,0,,21,70,30
WP_001829379.1 MULTISPECIES_ NUDIX domain-containing protein _Staphylococcus_,NUDIX domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829379.1,,,0,6,15,0,,21,70,30
WP_001829386.1 MULTISPECIES_ bifunctional cystathionine gamma-lyase_homocysteine desulfhydrase _Staphylococcus_,bifunctional cystathionine gamma-lyase_homocysteine desulfhydrase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829386.1,,,0,6,15,0,,21,70,30
WP_001829387.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829387.1,,,0,6,15,0,,21,70,30
WP_001829404.1 MULTISPECIES_ LysR family transcriptional regulator _Staphylococcus_,LysR family transcriptional regulator ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829404.1,,,0,6,15,0,,21,70,30
WP_001829410.1 MULTISPECIES_ xanthine phosphoribosyltransferase _Staphylococcus_,xanthine phosphoribosyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829410.1,,,0,6,15,0,,21,70,30
WP_001829440.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829440.1,,,0,6,15,0,,21,70,30
WP_001829449.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829449.1,,,0,6,15,0,,21,70,30
WP_001829451.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829451.1,,,0,6,15,0,,21,70,30
WP_001829481.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829481.1,,,0,6,15,0,,21,70,30
WP_001829496.1 MULTISPECIES_ thiamine-binding protein _Staphylococcus_,thiamine-binding protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829496.1,,,0,6,15,0,,21,70,30
WP_001829574.1 MULTISPECIES_ triose-phosphate isomerase _Staphylococcus_,triose-phosphate isomerase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829574.1,,,0,6,15,0,,21,70,30
WP_001829600.1 MULTISPECIES_ UDP-N-acetylmuramate dehydrogenase _Staphylococcus_,UDP-N-acetylmuramate dehydrogenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829600.1,,,0,6,15,0,,21,70,30
WP_001829601.1 MULTISPECIES_ excinuclease ABC subunit UvrB _Staphylococcus_,excinuclease ABC subunit UvrB ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829601.1,,,0,6,15,0,,21,70,30
WP_001829625.1 MULTISPECIES_ GrpB family protein _Staphylococcus_,GrpB family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829625.1,,,0,6,15,0,,21,70,30
WP_001829635.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829635.1,,,0,6,15,0,,21,70,30
WP_001829658.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829658.1,,,0,6,15,0,,21,70,30
WP_001829664.1 MULTISPECIES_ hypothetical protein _Bacilli_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829664.1,,,0,6,15,0,,21,70,30
WP_001829672.1 MULTISPECIES_ alpha_beta hydrolase _Staphylococcus_,alpha_beta hydrolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829672.1,,,0,6,15,0,,21,70,30
WP_001829675.1 MULTISPECIES_ bacillithiol system redox-active protein YtxJ _Staphylococcus_,bacillithiol system redox-active protein YtxJ ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829675.1,,,0,6,15,0,,21,70,30
"WP_001829676.1 MULTISPECIES_ ribosome hibernation-promoting factor, HPF_YfiA family _Staphylococcus_","ribosome hibernation-promoting factor, HPF_YfiA family ",OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829676.1,,,0,6,15,0,,21,70,30
WP_001829679.1 MULTISPECIES_ glycerate kinase _Staphylococcus_,glycerate kinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829679.1,,,0,6,15,0,,21,70,30
WP_001829680.1 MULTISPECIES_ diacylglycerol_lipid kinase family protein _Staphylococcus_,diacylglycerol_lipid kinase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829680.1,,,0,6,15,0,,21,70,30
WP_001829706.1 MULTISPECIES_ NAD-dependent protein deacylase _Staphylococcus_,NAD-dependent protein deacylase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829706.1,,,0,6,15,0,,21,70,30
WP_001829710.1 MULTISPECIES_ 30S ribosomal protein S19 _Bacillales_,30S ribosomal protein S19 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829710.1,,,0,6,15,0,,21,70,30
WP_001829723.1 MULTISPECIES_ 30S ribosomal protein S17 _Bacillati_,30S ribosomal protein S17 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829723.1,,,0,6,15,0,,21,70,30
WP_001829752.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829752.1,,,0,6,15,0,,21,70,30
WP_001829758.1 MULTISPECIES_ PTS lactose_cellobiose transporter subunit IIA _Staphylococcus_,PTS lactose_cellobiose transporter subunit IIA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829758.1,,,0,6,15,0,,21,70,30
WP_001829760.1 MULTISPECIES_ galactose-6-phosphate isomerase subunit LacA _Staphylococcus_,galactose-6-phosphate isomerase subunit LacA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829760.1,,,0,6,15,0,,21,70,30
WP_001829761.1 MULTISPECIES_ DeoR_GlpR family DNA-binding transcription regulator _Staphylococcus_,DeoR_GlpR family DNA-binding transcription regulator ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829761.1,,,0,6,15,0,,21,70,30
WP_001829780.1 MULTISPECIES_ Asp23_Gls24 family envelope stress response protein _Staphylococcus_,Asp23_Gls24 family envelope stress response protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829780.1,,,0,6,15,0,,21,70,30
WP_001829804.1 MULTISPECIES_ RluA family pseudouridine synthase _Staphylococcus_,RluA family pseudouridine synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829804.1,,,0,6,15,0,,21,70,30
WP_001829810.1 MULTISPECIES_ response regulator _Staphylococcus_,response regulator ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829810.1,,,0,6,15,0,,21,70,30
WP_001829811.1 MULTISPECIES_ signal transduction protein TRAP _Staphylococcus_,signal transduction protein TRAP ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829811.1,,,0,6,15,0,,21,70,30
WP_001829814.1 MULTISPECIES_ tRNA epoxyqueuosine_34_ reductase QueG _Staphylococcus_,tRNA epoxyqueuosine_34_ reductase QueG ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829814.1,,,0,6,15,0,,21,70,30
WP_001829819.1 MULTISPECIES_ GAF domain-containing sensor histidine kinase _Staphylococcus_,GAF domain-containing sensor histidine kinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829819.1,,,0,6,15,0,,21,70,30
WP_001829900.1 MULTISPECIES_ Dps family protein _Staphylococcus_,Dps family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829900.1,,,0,6,15,0,,21,70,30
WP_001829921.1 MULTISPECIES_ metallophosphoesterase family protein _Staphylococcus_,metallophosphoesterase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829921.1,,,0,6,15,0,,21,70,30
WP_001829930.1 MULTISPECIES_ F0F1 ATP synthase subunit beta _Staphylococcus_,F0F1 ATP synthase subunit beta ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829930.1,,,0,6,15,0,,21,70,30
WP_001829949.1 MULTISPECIES_ Lmo0850 family protein _Staphylococcus_,Lmo0850 family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829949.1,,,0,6,15,0,,21,70,30
WP_001829961.1 MULTISPECIES_ purine-nucleoside phosphorylase _Staphylococcus_,purine-nucleoside phosphorylase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829961.1,,,0,6,15,0,,21,70,30
WP_001829978.1 MULTISPECIES_ UDP-N-acetylglucosamine 1-carboxyvinyltransferase _Staphylococcus_,UDP-N-acetylglucosamine 1-carboxyvinyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001829978.1,,,0,6,15,0,,21,70,30
WP_001830031.1 MULTISPECIES_ NAD_NADP-dependent octopine_nopaline dehydrogenase family protein _Staphylococcus_,NAD_NADP-dependent octopine_nopaline dehydrogenase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830031.1,,,0,6,15,0,,21,70,30
WP_001830032.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830032.1,,,0,6,15,0,,21,70,30
WP_001830079.1 MULTISPECIES_ YlaN family protein _Staphylococcus_,YlaN family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830079.1,,,0,6,15,0,,21,70,30
WP_001830080.1 MULTISPECIES_ signal recognition particle-docking protein FtsY _Staphylococcus_,signal recognition particle-docking protein FtsY ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830080.1,,,0,6,15,0,,21,70,30
WP_001830081.1 MULTISPECIES_ cell division protein ZapA _Staphylococcus_,cell division protein ZapA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830081.1,,,0,6,15,0,,21,70,30
WP_001830094.1 MULTISPECIES_ glutamate racemase _Staphylococcus_,glutamate racemase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830094.1,,,0,6,15,0,,21,70,30
WP_001830096.1 MULTISPECIES_ guanylate kinase _Staphylococcus_,guanylate kinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830096.1,,,0,6,15,0,,21,70,30
WP_001830099.1 MULTISPECIES_ transcription factor FapR _Staphylococcus_,transcription factor FapR ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830099.1,,,0,6,15,0,,21,70,30
WP_001830113.1 MULTISPECIES_ signal recognition particle protein _Staphylococcus_,signal recognition particle protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830113.1,,,0,6,15,0,,21,70,30
WP_001830116.1 MULTISPECIES_ fatty acid kinase catalytic subunit FakA _Staphylococcus_,fatty acid kinase catalytic subunit FakA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830116.1,,,0,6,15,0,,21,70,30
WP_001830120.1 MULTISPECIES_ DNA polymerase_3_-5_ exonuclease PolX _Staphylococcus_,DNA polymerase_3_-5_ exonuclease PolX ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830120.1,,,0,6,15,0,,21,70,30
WP_001830129.1 MULTISPECIES_ dihydroorotase _Staphylococcus_,dihydroorotase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830129.1,,,0,6,15,0,,21,70,30
WP_001830140.1 MULTISPECIES_ 16S rRNA _guanine_966_-N_2__-methyltransferase RsmD _Staphylococcus_,16S rRNA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830140.1,,,0,6,15,0,,21,70,30
WP_001830143.1 MULTISPECIES_ cell division protein SepF _Staphylococcus_,cell division protein SepF ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830143.1,,,0,6,15,0,,21,70,30
WP_001830146.1 MULTISPECIES_ YggS family pyridoxal phosphate-dependent enzyme _Staphylococcus_,YggS family pyridoxal phosphate-dependent enzyme ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830146.1,,,0,6,15,0,,21,70,30
WP_001830148.1 MULTISPECIES_ thioredoxin _Staphylococcus_,thioredoxin ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830148.1,,,0,6,15,0,,21,70,30
WP_001830152.1 MULTISPECIES_ primosomal protein N_ _Staphylococcus_,primosomal protein N_ ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830152.1,,,0,6,15,0,,21,70,30
WP_001830156.1 MULTISPECIES_ Asp23_Gls24 family envelope stress response protein _Staphylococcus_,Asp23_Gls24 family envelope stress response protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830156.1,,,0,6,15,0,,21,70,30
WP_001830173.1 MULTISPECIES_ ribulose-phosphate 3-epimerase _Staphylococcus_,ribulose-phosphate 3-epimerase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830173.1,,,0,6,15,0,,21,70,30
WP_001830335.1 MULTISPECIES_ HTH-type transcriptional regulator MgrA _Staphylococcus_,HTH-type transcriptional regulator MgrA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830335.1,,,0,6,15,0,,21,70,30
WP_001830341.1 MULTISPECIES_ 6-carboxytetrahydropterin synthase QueD _Staphylococcus_,6-carboxytetrahydropterin synthase QueD ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830341.1,,,0,6,15,0,,21,70,30
WP_001830356.1 MULTISPECIES_ allophanate hydrolase subunit 1 _Staphylococcus_,allophanate hydrolase subunit 1 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830356.1,,,0,6,15,0,,21,70,30
WP_001830386.1 MULTISPECIES_ radical SAM_CxCxxxxC motif protein YfkAB _Staphylococcus_,radical SAM_CxCxxxxC motif protein YfkAB ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830386.1,,,0,6,15,0,,21,70,30
WP_001830395.1 MULTISPECIES_ SE1561 family protein _Staphylococcus_,SE1561 family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830395.1,,,0,6,15,0,,21,70,30
WP_001830414.1 MULTISPECIES_ type 1 glutamine amidotransferase domain-containing protein _Staphylococcus_,type 1 glutamine amidotransferase domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830414.1,,,0,6,15,0,,21,70,30
WP_001830440.1 MULTISPECIES_ adenylosuccinate lyase _Staphylococcus_,adenylosuccinate lyase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830440.1,,,0,6,15,0,,21,70,30
WP_001830445.1 MULTISPECIES_ Mur ligase family protein _Staphylococcus_,Mur ligase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830445.1,,,0,6,15,0,,21,70,30
WP_001830449.1 MULTISPECIES_ thioredoxin-dependent thiol peroxidase _Staphylococcus_,thioredoxin-dependent thiol peroxidase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830449.1,,,0,6,15,0,,21,70,30
WP_001830485.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830485.1,,,0,6,15,0,,21,70,30
WP_001830509.1 MULTISPECIES_ dihydroxyacetone kinase subunit DhaL _Staphylococcus_,dihydroxyacetone kinase subunit DhaL ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830509.1,,,0,6,15,0,,21,70,30
WP_001830516.1 MULTISPECIES_ 3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein _Staphylococcus_,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830516.1,,,0,6,15,0,,21,70,30
WP_001830525.1 MULTISPECIES_ YdhK family protein _Staphylococcus_,YdhK family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830525.1,,,0,6,15,0,,21,70,30
WP_001830531.1 MULTISPECIES_ FosB family fosfomycin resistance bacillithiol transferase _Staphylococcus_,FosB family fosfomycin resistance bacillithiol transferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830531.1,,,0,6,15,0,,21,70,30
WP_001830533.1 MULTISPECIES_ carbamate kinase _Staphylococcus_,carbamate kinase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830533.1,,,0,6,15,0,,21,70,30
WP_001830571.1 MULTISPECIES_ histidine racemase CntK _Staphylococcus_,histidine racemase CntK ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830571.1,,,0,6,15,0,,21,70,30
WP_001830573.1 MULTISPECIES_ glycerol dehydrogenase _Staphylococcus_,glycerol dehydrogenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830573.1,,,0,6,15,0,,21,70,30
WP_001830574.1 MULTISPECIES_ staphylopine biosynthesis enzyme CntL _Staphylococcus_,staphylopine biosynthesis enzyme CntL ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830574.1,,,0,6,15,0,,21,70,30
WP_001830581.1 MULTISPECIES_ ABC transporter substrate-binding protein _Staphylococcus_,ABC transporter substrate-binding protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830581.1,,,0,6,15,0,,21,70,30
WP_001830617.1 MULTISPECIES_ antibiotic biosynthesis monooxygenase family protein _Staphylococcus_,antibiotic biosynthesis monooxygenase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830617.1,,,0,6,15,0,,21,70,30
WP_001830626.1 MULTISPECIES_ acetolactate decarboxylase _Staphylococcus_,acetolactate decarboxylase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830626.1,,,0,6,15,0,,21,70,30
WP_001830632.1 MULTISPECIES_ amidohydrolase _Staphylococcus_,amidohydrolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830632.1,,,0,6,15,0,,21,70,30
WP_001830645.1 MULTISPECIES_ transposase _Staphylococcus_,transposase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830645.1,,,0,6,15,0,,21,70,30
WP_001830650.1 MULTISPECIES_ L-lactate dehydrogenase _Staphylococcus_,L-lactate dehydrogenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830650.1,,,0,6,15,0,,21,70,30
WP_001830666.1 MULTISPECIES_ acetolactate synthase AlsS _Staphylococcus_,acetolactate synthase AlsS ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830666.1,,,0,6,15,0,,21,70,30
WP_001830731.1 MULTISPECIES_ transaldolase _Staphylococcus_,transaldolase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830731.1,,,0,6,15,0,,21,70,30
WP_001830746.1 MULTISPECIES_ SAS049 family protein _Staphylococcus_,SAS049 family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830746.1,,,0,6,15,0,,21,70,30
WP_001830748.1 MULTISPECIES_ peptidase U32 family protein _Staphylococcus_,peptidase U32 family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830748.1,,,0,6,15,0,,21,70,30
WP_001830756.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830756.1,,,0,6,15,0,,21,70,30
WP_001830772.1 MULTISPECIES_ primosomal protein DnaI _Staphylococcus_,primosomal protein DnaI ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830772.1,,,0,6,15,0,,21,70,30
WP_001830781.1 MULTISPECIES_ LLM class flavin-dependent oxidoreductase _Staphylococcus_,LLM class flavin-dependent oxidoreductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830781.1,,,0,6,15,0,,21,70,30
WP_001830784.1 MULTISPECIES_ ACT domain-containing protein _Staphylococcus_,ACT domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830784.1,,,0,6,15,0,,21,70,30
WP_001830789.1 MULTISPECIES_ translation initiation factor IF-3 _Staphylococcus_,translation initiation factor IF-3 ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830789.1,,,0,6,15,0,,21,70,30
WP_001830802.1 MULTISPECIES_ TIGR01212 family radical SAM protein _Staphylococcus_,TIGR01212 family radical SAM protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830802.1,,,0,6,15,0,,21,70,30
WP_001830807.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830807.1,,,0,6,15,0,,21,70,30
WP_001830808.1 MULTISPECIES_ universal stress protein _Staphylococcus_,universal stress protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830808.1,,,0,6,15,0,,21,70,30
WP_001830814.1 MULTISPECIES_ alanine--tRNA ligase _Staphylococcus_,alanine--tRNA ligase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830814.1,,,0,6,15,0,,21,70,30
WP_001830829.1 MULTISPECIES_ D-amino-acid transaminase _Staphylococcus_,D-amino-acid transaminase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830829.1,,,0,6,15,0,,21,70,30
WP_001830837.1 MULTISPECIES_ Holliday junction resolvase RuvX _Staphylococcus_,Holliday junction resolvase RuvX ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830837.1,,,0,6,15,0,,21,70,30
WP_001830840.1 MULTISPECIES_ tRNA guanosine_34_ transglycosylase Tgt _Staphylococcus_,tRNA guanosine_34_ transglycosylase Tgt ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830840.1,,,0,6,15,0,,21,70,30
WP_001830852.1 MULTISPECIES_ aspartate--tRNA ligase _Staphylococcus_,aspartate--tRNA ligase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830852.1,,,0,6,15,0,,21,70,30
WP_001830860.1 MULTISPECIES_ cysteine desulfurase family protein _Staphylococcus_,cysteine desulfurase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830860.1,,,0,6,15,0,,21,70,30
WP_001830861.1 MULTISPECIES_ RadC family protein _Staphylococcus_,RadC family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830861.1,,,0,6,15,0,,21,70,30
WP_001830871.1 MULTISPECIES_ replication-associated recombination protein A _Staphylococcus_,replication-associated recombination protein A ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830871.1,,,0,6,15,0,,21,70,30
WP_001830876.1 MULTISPECIES_ histidine--tRNA ligase _Staphylococcus_,histidine--tRNA ligase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830876.1,,,0,6,15,0,,21,70,30
WP_001830892.1 MULTISPECIES_ tRNA 2-thiouridine_34_ synthase MnmA _Staphylococcus_,tRNA 2-thiouridine_34_ synthase MnmA ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830892.1,,,0,6,15,0,,21,70,30
WP_001830943.1 MULTISPECIES_ _d_CMP kinase _Staphylococcus_,CMP kinase,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830943.1,,,0,6,15,0,,21,70,30
WP_001830951.1 MULTISPECIES_ 4-hydroxy-tetrahydrodipicolinate reductase _Staphylococcus_,4-hydroxy-tetrahydrodipicolinate reductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830951.1,,,0,6,15,0,,21,70,30
WP_001830952.1 MULTISPECIES_ trimethoprim-sensitive dihydrofolate reductase DfrC _Staphylococcus_,trimethoprim-sensitive dihydrofolate reductase DfrC ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830952.1,,,0,6,15,0,,21,70,30
WP_001830978.1 MULTISPECIES_ pseudouridine synthase _Staphylococcus_,pseudouridine synthase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830978.1,,,0,6,15,0,,21,70,30
WP_001830979.1 MULTISPECIES_ aminoacyltransferase _Staphylococcus_,aminoacyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830979.1,,,0,6,15,0,,21,70,30
WP_001830981.1 MULTISPECIES_ DNA repair protein RecN _Staphylococcus_,DNA repair protein RecN ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830981.1,,,0,6,15,0,,21,70,30
WP_001830986.1 MULTISPECIES_ N-acetyl-gamma-glutamyl-phosphate reductase _Staphylococcus_,N-acetyl-gamma-glutamyl-phosphate reductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001830986.1,,,0,6,15,0,,21,70,30
WP_001831007.1 MULTISPECIES_ molecular chaperone DnaK _Staphylococcus_,molecular chaperone DnaK ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001831007.1,,,0,6,15,0,,21,70,30
WP_001831009.1 MULTISPECIES_ HesB_YadR_YfhF family protein _Staphylococcus_,HesB_YadR_YfhF family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001831009.1,,,0,6,15,0,,21,70,30
WP_001831034.1 MULTISPECIES_ cell division regulator GpsB _Bacillales_,cell division regulator GpsB ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001831034.1,,,0,6,15,0,,21,70,30
WP_001831060.1 MULTISPECIES_ tetratricopeptide repeat protein _Staphylococcus_,tetratricopeptide repeat protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic,WP_001831060.1,,,0,6,15,0,,21,70,30
