ProteinID,SignalP,Cwpred,TMHMM,DeepLocPro
WP_001830617.1 MULTISPECIES_ antibiotic biosynthesis monooxygenase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830619.1 MULTISPECIES_ aspartate 1-decarboxylase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
"WP_001830624.1 MULTISPECIES_ pyruvate, phosphate dikinase _Staphylococcus_",OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830626.1 MULTISPECIES_ acetolactate decarboxylase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830628.1 MULTISPECIES_ oxidoreductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
"WP_001830630.1 MULTISPECIES_ pyruvate, water dikinase regulatory protein _Bacillota_",OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830632.1 MULTISPECIES_ amidohydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830633.1 MULTISPECIES_ zinc-ribbon domain-containing protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001830634.1 MULTISPECIES_ sterile alpha motif-like domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830635.1 MULTISPECIES_ fructosamine kinase family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830636.1 MULTISPECIES_ acyltransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=11,Cytoplasmic Membrane
WP_001830640.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
WP_001830645.1 MULTISPECIES_ transposase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830650.1 MULTISPECIES_ L-lactate dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830651.1 MULTISPECIES_ L-lactate dehydrogenase _quinone_ _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001830655.1 MULTISPECIES_ hypothetical protein _Bacillati_,LIPO,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001830656.1 MULTISPECIES_ acyl-CoA synthetase MbcS _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830659.1 MULTISPECIES_ hypothetical protein _Bacillota_,SP,Transmembrane protein,PredHel=1,Extracellular
WP_001830660.1 MULTISPECIES_ BCCT family transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001830661.1 MULTISPECIES_ phosphoadenylyl-sulfate reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830662.1 MULTISPECIES_ FAD-dependent oxidoreductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830663.1 MULTISPECIES_ quinone-dependent dihydroorotate dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001830664.1 MULTISPECIES_ anaerobic C4-dicarboxylate transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001830665.1 MULTISPECIES_ fructose bisphosphate aldolase _Bacillati_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830666.1 MULTISPECIES_ acetolactate synthase AlsS _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830671.1 MULTISPECIES_ 3-methyl-2-oxobutanoate hydroxymethyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830672.1 MULTISPECIES_ poly-gamma-glutamate hydrolase family protein _Staphylococcus_,SP,Globular protein,PredHel=0,Extracellular
WP_001830673.1 MULTISPECIES_ amino acid permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001830675.1 MULTISPECIES_ aspartate aminotransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830678.1 MULTISPECIES_ PTS transporter subunit IIC _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001830679.1 MULTISPECIES_ response regulator transcription factor _Bacillota_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830680.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001830724.1 MULTISPECIES_ sigma-70 family RNA polymerase sigma factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830726.1 MULTISPECIES_ fluoride efflux transporter CrcB _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001830727.1 MULTISPECIES_ N-acetylglucosaminidase _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830729.1 MULTISPECIES_ fluoride efflux transporter FluC _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001830731.1 MULTISPECIES_ transaldolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830734.1 MULTISPECIES_ competence protein ComK _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830740.1 MULTISPECIES_ putative polysaccharide biosynthesis protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=14,Cytoplasmic Membrane
WP_001830741.1 MULTISPECIES_ GTPase ObgE _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830743.1 MULTISPECIES_ sulfite exporter TauE_SafE family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=7,Cytoplasmic Membrane
WP_001830746.1 MULTISPECIES_ SAS049 family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830748.1 MULTISPECIES_ peptidase U32 family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830750.1 MULTISPECIES_ HAD family hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830752.1 MULTISPECIES_ pyridoxal-phosphate-dependent aminotransferase family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830753.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=2,Cytoplasmic Membrane
WP_001830755.1 MULTISPECIES_ tRNA preQ1_34_ S-adenosylmethionine ribosyltransferase-isomerase QueA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830756.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830758.1 MULTISPECIES_ tRNA uracil 4-sulfurtransferase ThiI _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830760.1 MULTISPECIES_ single-stranded-DNA-specific exonuclease RecJ _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830762.1 MULTISPECIES_ replication initiation and membrane attachment family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830764.1 MULTISPECIES_ rod shape-determining protein MreD _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001830765.1 MULTISPECIES_ ATP-dependent Clp protease ATP-binding subunit ClpX _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830766.1 MULTISPECIES_ D-aminoacyl-tRNA deacylase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830767.1 MULTISPECIES_ 50S ribosomal protein L35 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001830772.1 MULTISPECIES_ primosomal protein DnaI _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830773.1 MULTISPECIES_ glutamyl-tRNA reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830775.1 MULTISPECIES_ alanine dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830777.1 MULTISPECIES_ tRNA threonylcarbamoyladenosine dehydratase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830778.1 MULTISPECIES_ PepSY domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830779.1 MULTISPECIES_ YtpR family tRNA-binding protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830781.1 MULTISPECIES_ LLM class flavin-dependent oxidoreductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830782.1 MULTISPECIES_ bifunctional folylpolyglutamate synthase_dihydrofolate synthase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830783.1 MULTISPECIES_ DNA-3-methyladenine glycosylase I _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830784.1 MULTISPECIES_ ACT domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830785.1 MULTISPECIES_ leucine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830786.1 MULTISPECIES_ metal-dependent hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830787.1 MULTISPECIES_ Holliday junction branch migration DNA helicase RuvB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830789.1 MULTISPECIES_ translation initiation factor IF-3 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830792.1 MULTISPECIES_ thioredoxin family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830797.1 MULTISPECIES_ ribosomal-processing cysteine protease Prp _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830798.1 MULTISPECIES_ 30S ribosomal protein S4 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001830800.1 MULTISPECIES_ preprotein translocase subunit YajC _Bacillales_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830802.1 MULTISPECIES_ TIGR01212 family radical SAM protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830806.1 MULTISPECIES_ cysteine metabolism transcriptional regulator CymR _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830807.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830808.1 MULTISPECIES_ universal stress protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830809.1 MULTISPECIES_ SarA family transcriptional regulator _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830810.1 MULTISPECIES_ trigger factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830811.1 MULTISPECIES_ hydroxymethylbilane synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830812.1 MULTISPECIES_ GAF domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830813.1 MULTISPECIES_ NAD_P__FAD-dependent oxidoreductase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830814.1 MULTISPECIES_ alanine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830816.1 MULTISPECIES_ SACOL1771 family peroxiredoxin _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830817.1 MULTISPECIES_ pseudouridine synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830818.1 MULTISPECIES_ DHH family phosphoesterase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830820.1 MULTISPECIES_ 50S ribosomal protein L21 _Bacteria_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001830822.1 MULTISPECIES_ 50S ribosomal protein L27 _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830823.1 MULTISPECIES_ bifunctional DNA-formamidopyrimidine glycosylase_DNA-_apurinic or apyrimidinic site_ lyase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830824.1 MULTISPECIES_ uridine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830825.1 MULTISPECIES_ transcriptional regulator NrdR _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830826.1 MULTISPECIES_ NADP-dependent isocitrate dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830827.1 MULTISPECIES_ O-methyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830828.1 MULTISPECIES_ dipeptidase PepV _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830829.1 MULTISPECIES_ D-amino-acid transaminase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830831.1 MULTISPECIES_ pyruvate kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830832.1 MULTISPECIES_ rod shape-determining protein MreC _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830837.1 MULTISPECIES_ Holliday junction resolvase RuvX _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830838.1 MULTISPECIES_ ribosome biogenesis GTP-binding protein YihA_YsxC _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830839.1 MULTISPECIES_ 50S ribosomal protein L20 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001830840.1 MULTISPECIES_ tRNA guanosine_34_ transglycosylase Tgt _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830843.1 MULTISPECIES_ N-acetylmuramoyl-L-alanine amidase _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830844.1 MULTISPECIES_ catabolite control protein A _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830846.1 MULTISPECIES_ phosphotransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830848.1 MULTISPECIES_ cysteine desulfurase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830852.1 MULTISPECIES_ aspartate--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830855.1 MULTISPECIES_ DUF1292 domain-containing protein _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830858.1 MULTISPECIES_ tyrosine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830860.1 MULTISPECIES_ cysteine desulfurase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830861.1 MULTISPECIES_ RadC family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830862.1 MULTISPECIES_ valine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830863.1 MULTISPECIES_ protein translocase subunit SecDF _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001830867.1 MULTISPECIES_ two-component system histidine kinase PnpS _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001830868.1 MULTISPECIES_ DUF948 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830869.1 MULTISPECIES_ acetate kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830871.1 MULTISPECIES_ replication-associated recombination protein A _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830872.1 MULTISPECIES_ lysophospholipid acyltransferase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane
WP_001830874.1 MULTISPECIES_ NUDIX domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830876.1 MULTISPECIES_ histidine--tRNA ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830878.1 MULTISPECIES_ AbrB family transcriptional regulator _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001830881.1 MULTISPECIES_ transcription elongation factor GreA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830883.1 MULTISPECIES_ IreB family regulatory phosphoprotein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830884.1 MULTISPECIES_ MDR family MFS transporter _Staphylococcus_,OTHER,Transmembrane protein,PredHel=10,Cytoplasmic Membrane
WP_001830886.1 MULTISPECIES_ alpha_beta fold hydrolase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001830888.1 MULTISPECIES_ M24 family metallopeptidase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830889.1 MULTISPECIES_ citrate synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830890.1 MULTISPECIES_ DRTGG domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830891.1 MULTISPECIES_ rhodanese-like domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830892.1 MULTISPECIES_ tRNA 2-thiouridine_34_ synthase MnmA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830894.1 MULTISPECIES_ class I SAM-dependent methyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830895.1 MULTISPECIES_ Holliday junction branch migration protein RuvA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830897.1 MULTISPECIES_ response regulator transcription factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830900.1 MULTISPECIES_ amino acid permease _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001830902.1 MULTISPECIES_ transglycosylase domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830903.1 MULTISPECIES_ phosphoglycerate dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830904.1 MULTISPECIES_ SF1B family DNA helicase RecD2 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830914.1 MULTISPECIES_ LysE family translocator _Staphylococcus_,OTHER,Transmembrane protein,PredHel=5,Cytoplasmic Membrane
WP_001830928.1 MULTISPECIES_ 5-oxoprolinase subunit PxpA _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830929.1 MULTISPECIES_ 5_-3_ exonuclease _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830931.1 MULTISPECIES_ helix-hairpin-helix domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001830933.1 MULTISPECIES_ alpha-ketoacid dehydrogenase subunit beta _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830934.1 MULTISPECIES_ molecular chaperone DnaJ _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830935.1 MULTISPECIES_ exodeoxyribonuclease VII small subunit _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830936.1 MULTISPECIES_ phosphate ABC transporter permease subunit PstC _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001830938.1 MULTISPECIES_ branched-chain amino acid-like transporter carrier protein BrnQ3 _Staphylococcus_,OTHER,Transmembrane protein,PredHel=12,Cytoplasmic Membrane
WP_001830939.1 MULTISPECIES_ dihydrolipoyl dehydrogenase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830940.1 MULTISPECIES_ ABC-F family ATP-binding cassette domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830943.1 MULTISPECIES_ _d_CMP kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830946.1 MULTISPECIES_ acetylglutamate kinase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830948.1 MULTISPECIES_ carbohydrate ABC transporter permease _Bacillota_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001830951.1 MULTISPECIES_ 4-hydroxy-tetrahydrodipicolinate reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830952.1 MULTISPECIES_ trimethoprim-sensitive dihydrofolate reductase DfrC _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830954.1 MULTISPECIES_ Msa family membrane protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
"WP_001830955.1 MULTISPECIES_ 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase _Staphylococcus_",OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830956.1 MULTISPECIES_ ribosome assembly RNA-binding protein YhbY _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830957.1 MULTISPECIES_ 50S ribosomal protein L33 _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830960.1 MULTISPECIES_ exonuclease subunit SbcD _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830963.1 MULTISPECIES_ type 1 glutamine amidotransferase domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830967.1 MULTISPECIES_ cytidine deaminase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830968.1 MULTISPECIES_ phosphate signaling complex protein PhoU _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830971.1 MULTISPECIES_ response regulator transcription factor _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830975.1 MULTISPECIES_ SMC-Scp complex subunit ScpB _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830976.1 MULTISPECIES_ anthranilate phosphoribosyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830977.1 MULTISPECIES_ dynamin family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830978.1 MULTISPECIES_ pseudouridine synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830979.1 MULTISPECIES_ aminoacyltransferase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830981.1 MULTISPECIES_ DNA repair protein RecN _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830983.1 MULTISPECIES_ DNA repair protein RecO _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830986.1 MULTISPECIES_ N-acetyl-gamma-glutamyl-phosphate reductase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001830988.1 MULTISPECIES_ ECF transporter S component _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
WP_001830989.1 MULTISPECIES_ flotillin-like protein FloA _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001830993.1 MULTISPECIES_ lipoate--protein ligase family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831001.1 MULTISPECIES_ 5-formyltetrahydrofolate cyclo-ligase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831003.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Extracellular
WP_001831005.1 MULTISPECIES_ DNA primase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831007.1 MULTISPECIES_ molecular chaperone DnaK _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831008.1 MULTISPECIES_ ribonuclease Z _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831009.1 MULTISPECIES_ HesB_YadR_YfhF family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831012.1 MULTISPECIES_ DNA internalization-related competence protein ComEC_Rec2 _Staphylococcus_,OTHER,Globular protein,PredHel=12,Cytoplasmic Membrane
WP_001831013.1 MULTISPECIES_ nickel ABC transporter permease _Staphylococcus_,OTHER,Globular protein,PredHel=6,Cytoplasmic Membrane
WP_001831014.1 MULTISPECIES_ DnaD domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831015.1 MULTISPECIES_ DUF896 domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831016.1 MULTISPECIES_ MBL fold metallo-hydrolase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831017.1 MULTISPECIES_ phosphatase PAP2 family protein _Staphylococcus_,OTHER,Transmembrane protein,PredHel=6,Cytoplasmic Membrane
WP_001831020.1 MULTISPECIES_ chorismate synthase _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831025.1 MULTISPECIES_ competence type IV pilus minor pilin ComGD _Staphylococcus_,PILIN,Transmembrane protein,PredHel=1,Cytoplasmic Membrane
WP_001831026.1 MULTISPECIES_ zinc-finger domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831030.1 MULTISPECIES_ DUF6501 family protein _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831032.1 MULTISPECIES_ transglycosylase domain-containing protein _Staphylococcus_,OTHER,Globular protein,PredHel=1,Cytoplasmic Membrane
WP_001831034.1 MULTISPECIES_ cell division regulator GpsB _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831035.1 MULTISPECIES_ 2-hydroxymuconate tautomerase _Bacillales_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831036.1 MULTISPECIES_ thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha _Staphylococcus_,OTHER,Globular protein,PredHel=0,Cytoplasmic
WP_001831038.1 MULTISPECIES_ heat-inducible transcriptional repressor HrcA _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001831042.1 MULTISPECIES_ ribosome biogenesis GTPase Der _Staphylococcus_,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic
WP_001831043.1 MULTISPECIES_ HAMP domain-containing sensor histidine kinase _Staphylococcus_,OTHER,Globular protein,PredHel=2,Cytoplasmic Membrane
WP_001831045.1 MULTISPECIES_ zinc metallopeptidase _Staphylococcus_,OTHER,Transmembrane protein,PredHel=4,Cytoplasmic Membrane
