ProteinID,feature_annotation,GO_annotation,Description,SigP-Prediction,SigP_score,SigP_CS_Position,DLP-prediction,DLP-score,GPApred-prediction,GPApred-score,TMHMM-topology,TMHMM-TM,Phobius-TM,Phobius-prediction,length,s_seq_id,per_ident,length,qlen,slen,evalue,bitscore
WP_000635275.1,None,Unknown,recombinase family protein ,OTHER,1,None,Cytoplasmic,0.9983,None,None,o,0,0,i,203,WP_000167867.1,54.545,22,203,302,7.1,20.8
WP_000687965.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.5362,None,None,o,0,0,i,125,WP_000532966.1,47.619,21,125,238,3.2,20.8
WP_000711815.1,None,Unknown,arginine repressor ,OTHER,1,None,Cytoplasmic,0.9881,None,None,o,0,0,i,148,WP_000193707.1,63.636,11,148,468,1.4,22.3
WP_000733270.1,None,Extracellular,penicillin-hydrolyzing class A beta-lactamase BlaZ ,LIPO,1,CS pos: 16-17. Pr: 0.9971,Extracellular,0.6316,None,None,o,0,0,n4-14c19/20o,281,WP_000160859.1,45,20,281,350,2.1,22.7
WP_000746201.1,None,Unknown,TlpA family protein disulfide reductase ,LIPO,1,CS pos: 20-21. Pr: 0.9956,Cytoplasmic Membrane,0.6445,None,None,o,0,0,n7-18c23/24o,117,WP_000260117.1,57.143,14,117,468,6.1,20
WP_000790334.1,None,Unknown,organomercurial lyase MerB ,OTHER,1,None,Cytoplasmic,0.9843,None,None,o,0,0,i,216,WP_001074749.1,47.059,17,216,396,3.1,21.9
WP_000793596.1,None,Unknown,ornithine carbamoyltransferase ,OTHER,1,None,Cytoplasmic,0.9815,None,None,o,0,0,i,332,WP_000193707.1,42.857,21,332,468,3.2,22.7
WP_000832687.1,None,Unknown,IS3 family transposase ,OTHER,1,None,Cytoplasmic,0.9592,None,None,o,0,0,i,283,WP_001151902.1,47.059,17,283,635,8.7,21.2
WP_000916431.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.8194,None,None,o,0,0,i,108,WP_000259692.1,47.368,19,108,514,4.7,20
WP_000931963.1,None,Unknown,hypothetical protein ,OTHER,1,None,Extracellular,0.5492,None,None,o,0,0,i,80,WP_000884739.1,66.667,15,80,395,3.3,19.6
WP_000968575.1,None,Unknown,hypothetical protein ,OTHER,0.945537,None,Cytoplasmic Membrane,0.9959,None,None,i13-42o57-79i,2,2,i12-37o57-75i,112,WP_000225837.1,50,14,112,286,7.2,19.6
WP_001053439.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.7387,None,None,o,0,0,i,209,WP_001130051.1,34,50,209,498,2,22.3
WP_001096393.1,None,Unknown,beta-lactam sensor_signal transducer BlaR1 ,OTHER,1,None,Cytoplasmic Membrane,0.8146,None,None,o4-26i38-60o105-127i171-191o211-233i309-331o,6,6,o6-26i38-58o108-128i172-191o211-229i309-330o,585,WP_000472302.1,47.059,17,585,420,4.9,23.1
WP_001105987.1,None,Unknown,IS6-like element IS257 family transposase ,OTHER,1,None,Cytoplasmic,0.5639,None,None,o,0,0,i,224,WP_000127570.1,27.273,55,224,433,6.2,21.2
WP_001106065.1,None,Unknown,IS6 family transposase ,OTHER,1,None,Cytoplasmic,0.5279,None,None,o,0,0,i,224,WP_000160859.1,38.71,31,224,350,8.5,20.8
WP_001284652.1,None,Unknown,penicillinase repressor BlaI ,OTHER,1,None,Cytoplasmic,0.8912,None,None,o,0,0,i,126,WP_000197806.1,61.538,13,126,392,5.4,20
WP_001551920.1,None,Unknown,accessory Sec system glycosyltransferase GtfA ,OTHER,1,None,Cytoplasmic,0.6804,None,None,o,0,0,i,502,WP_000745871.1,47.368,19,502,913,9.7,21.9
WP_001551922.1,None,Unknown,accessory Sec system glycosylation chaperone GtfB ,OTHER,1,None,Cytoplasmic,0.7674,None,None,o,0,0,i,439,WP_000813555.1,36,25,439,546,7.6,21.9
WP_001551924.1,None,Unknown,DUF1643 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9819,None,None,i,0,0,i,167,WP_000774281.1,57.143,14,167,328,7.1,20.4
WP_001551925.1,None,Unknown,DUF960 family protein ,OTHER,1,None,Cytoplasmic,0.648,None,None,i,0,0,i,104,WP_000863440.1,41.176,17,104,430,7.8,19.2
WP_001551929.1,None,Unknown,SAUGI family uracil-DNA glycosylase inhibitor ,OTHER,1,None,Cytoplasmic,0.5847,None,None,i,0,0,i,113,None,None,None,None,None,None,None
WP_001551932.1,None,Unknown,cassette chromosome recombinase CcrA ,OTHER,1,None,Cytoplasmic,0.9941,None,None,o,0,0,i,449,WP_000240645.1,36.364,33,449,538,5.9,22.3
WP_001551935.1,None,Unknown,hypothetical protein ,OTHER,1,None,Extracellular,0.6491,None,None,o,0,0,i,527,WP_001167887.1,56,25,527,697,0.98,25
WP_001631029.1,None,Unknown,restriction endonuclease subunit S ,OTHER,1,None,Cytoplasmic,0.6308,None,None,o,0,0,i,400,WP_000862083.1,40.909,22,400,568,3.8,22.7
WP_001631030.1,None,Unknown,GNAT family N-acetyltransferase ,OTHER,1,None,Cytoplasmic,0.7017,None,None,o,0,0,i,165,WP_001074749.1,50,24,165,396,3.1,21.6
WP_001631031.1,None,Unknown,DUF2871 domain-containing protein ,OTHER,1,None,Cytoplasmic Membrane,0.9986,None,None,i7-24o39-58i70-91o106-128i,4,3,n9-20c28/29o44-62i74-94o106-128i,136,WP_000506531.1,31.429,35,136,843,3.3,21.2
WP_001631032.1,None,Unknown,DUF1643 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9772,None,None,o,0,0,i,167,WP_001019219.1,44.444,27,167,194,0.64,23.5
WP_001631033.1,None,Unknown,DUF960 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.5099,None,None,i,0,0,i,103,WP_000186313.1,28.07,57,103,267,0.45,22.7
WP_001631034.1,None,Unknown,SAUGI family uracil-DNA glycosylase inhibitor ,OTHER,1,None,Cytoplasmic,0.5095,None,None,i,0,0,i,116,WP_001261460.1,50,20,116,98,8.7,18.9
WP_001631035.1,None,Unknown,cassette chromosome recombinase CcrB ,OTHER,1,None,Cytoplasmic,0.9833,None,None,o,0,0,i,542,WP_000428172.1,75,12,542,91,2.3,22.7
WP_001631036.1,None,Unknown,cassette chromosome recombinase CcrA ,OTHER,1,None,Cytoplasmic,0.971,None,None,o,0,0,i,453,WP_000667269.1,38.71,31,453,220,1.2,24.3
WP_001631039.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic Membrane,0.9998,None,None,i5-22o27-49i56-78o93-115i,4,4,o6-23i30-49o55-72i93-110o,119,WP_000255586.1,46.154,13,119,644,9.3,19.2
WP_001791613.1,None,Unknown,type I toxin-antitoxin system Fst family toxin ,OTHER,0.772279,None,Cytoplasmic Membrane,0.9734,None,None,o4-26i,1,1,o6-25i,30,WP_001056178.1,55.556,9,30,933,3,17.3
WP_001802814.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.8503,None,None,o,0,0,i,85,WP_000255586.1,63.636,11,85,644,9.8,18.5
WP_001829249.1,None,Unknown,IS200_IS605 family transposase ,OTHER,1,None,Cytoplasmic,0.4968,None,None,o,0,0,i,123,WP_000157603.1,46.667,15,123,288,8.3,19.6
WP_001829251.1,None,Unknown,oligopeptide ABC transporter permease ,OTHER,0.999892,None,Cytoplasmic Membrane,1,None,None,i64-86o160-182i194-213o217-236i267-289o325-342i,6,6,i64-85o156-181i193-211o217-236i271-300o325-346i,356,WP_001074508.1,40,25,356,1256,8.4,21.6
WP_001829253.1,None,Unknown,peptide ABC transporter substrate-binding protein ,LIPO,1,CS pos: 19-20. Pr: 0.9969,Cytoplasmic Membrane,0.9027,None,None,o,0,0,n6-17c22/23o,547,WP_001205095.1,63.158,19,547,1499,5.8,22.7
WP_001829256.1,None,Unknown,protease adaptor protein YjbH ,OTHER,1,None,Cytoplasmic,0.8351,None,None,o,0,0,i,265,WP_000138351.1,44.444,27,265,727,4.5,21.9
WP_001829261.1,None,Unknown,beta-ketoacyl-ACP synthase III ,OTHER,1,None,Cytoplasmic,0.9897,None,None,o,0,0,i,313,WP_000684567.1,40.625,32,313,360,8,21.2
WP_001829266.1,None,Cytoplasmic_membrane,GTP pyrophosphokinase ,OTHER,1,None,Cytoplasmic,0.9806,None,None,o,0,0,i,211,WP_000090316.1,45.833,24,211,693,5,21.2
WP_001829269.1,None,Unknown,lipoate--protein ligase ,OTHER,1,None,Cytoplasmic,0.9918,None,None,o,0,0,i,328,WP_001228162.1,41.379,29,328,322,4.3,22.3
WP_001829272.1,None,Unknown,competence protein ComK ,OTHER,1,None,Cytoplasmic,0.741,None,None,o,0,0,i,191,WP_001056178.1,60,15,191,933,4.2,21.6
WP_001829277.1,None,Unknown,bifunctional metallophosphatase_5_-nucleotidase ,OTHER,0.999982,None,Cytoplasmic,0.5192,None,None,i47-69o,1,0,i,501,WP_001218600.1,50,30,501,557,5.3,22.7
WP_001829279.1,None,Cytoplasm,oligoendopeptidase F ,OTHER,1,None,Cytoplasmic,0.9776,None,None,o,0,0,i,602,WP_000769720.1,41.379,29,602,190,2.1,23.9
WP_001829282.1,None,Unknown,competence protein CoiA ,OTHER,1,None,Cytoplasmic,0.8414,None,None,o,0,0,i,326,WP_000728763.1,35.849,53,326,508,3.1,22.7
WP_001829283.1,None,Unknown,acyltransferase family protein ,OTHER,1,None,Cytoplasmic Membrane,0.994,None,None,i21-38o43-65i86-105o149-171i178-197o212-230i243-262o277-299i311-330o335-357i378-400o,11,11,i21-38o44-65i86-105o156-172i179-201o213-230i242-262o274-300i312-330o336-357i378-400o,607,WP_000472302.1,42.857,35,607,420,0.3,26.9
WP_001829285.1,None,Unknown,tryptophan--tRNA ligase ,OTHER,0.999965,None,Cytoplasmic,0.9986,None,None,o,0,0,i,329,WP_000241351.1,47.368,19,329,179,3.2,22.3
WP_001829290.1,None,Unknown,metal-sulfur cluster assembly factor ,OTHER,1,None,Cytoplasmic,0.9924,None,None,o,0,0,i,102,WP_000670752.1,54.545,11,102,300,1.1,21.6
WP_001829292.1,None,Unknown,IDEAL domain-containing protein ,OTHER,1,None,Cytoplasmic,0.93,None,None,i,0,0,i,72,WP_001160682.1,50,16,72,86,5.6,18.5
WP_001829296.1,None,Unknown,YjcG family protein ,OTHER,1,None,Cytoplasmic,0.9731,None,None,o,0,0,i,169,WP_000202192.1,40.909,22,169,490,9,20
WP_001829298.1,None,Unknown,diglucosyl diacylglycerol synthase ,OTHER,1,None,Cytoplasmic Membrane,0.9551,None,None,o,0,0,i,391,WP_001148586.1,43.478,23,391,249,7.7,21.6
WP_001829303.1,None,Unknown,lipoteichoic acid biosynthesis protein CozEa ,OTHER,0.999998,None,Cytoplasmic Membrane,0.9998,None,None,o5-24i31-53o73-95i155-177o213-235i242-261o265-287i299-318o323-345i,9,8,i5-24o30-57i69-95o155-177i218-239o259-287i299-318o324-345i,361,WP_000160859.1,69.231,13,361,350,2.2,23.1
WP_001829306.1,None,Unknown,NAD kinase ,OTHER,1,None,Cytoplasmic,0.9935,None,None,o,0,0,i,269,WP_000858789.1,32.692,52,269,430,7.3,21.2
WP_001829308.1,None,Unknown,adaptor protein MecA ,OTHER,1,None,Cytoplasmic,0.975,None,None,o,0,0,i,240,WP_000036076.1,61.538,13,240,115,5.7,20.8
WP_001829311.1,None,Cytoplasm,RluA family pseudouridine synthase ,OTHER,1,None,Cytoplasmic,0.9782,None,None,o,0,0,i,284,WP_000631963.1,42.857,21,284,466,9.9,20.8
WP_001829312.1,None,Unknown,CPBP family glutamic-type intramembrane protease ,OTHER,1,None,Cytoplasmic Membrane,0.9998,None,None,i7-27o32-50i63-85o100-122i135-154o158-175i182-199o,7,7,i7-26o32-50i62-83o103-121i133-152o158-175i182-199o,200,WP_001074508.1,81.818,11,200,1256,7.3,20.8
WP_001829314.1,None,Unknown,TerC family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,o5-25i46-68o72-94i137-159o169-191i204-221o236-258i,7,7,o6-25i46-65o71-91i134-154o166-191i203-221o241-260i,268,WP_000034716.1,34.615,26,268,610,8,21.2
WP_001829319.1,None,Unknown,ABC transporter ATP-binding protein ,OTHER,1,None,Cytoplasmic Membrane,0.8964,None,None,o,0,0,i,312,WP_001218732.1,52.381,21,312,365,5.3,21.9
WP_001829321.1,None,Unknown,TrkH family potassium uptake protein ,OTHER,0.999999,None,Cytoplasmic Membrane,1,None,None,o15-37i50-68o78-100i130-152o193-215i228-250o313-335i356-373o383-405i412-434o,10,10,o17-37i49-68o74-101i128-152o192-213i234-253o316-335i356-375o381-401i413-435o,452,None,None,None,None,None,None,None
WP_001829323.1,None,Unknown,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase ,OTHER,1,None,Cytoplasmic,0.9968,None,None,o,0,0,i,494,WP_000858789.1,35,40,494,430,1,25
WP_001829324.1,None,Unknown,beta-ketoacyl-ACP synthase II ,OTHER,1,None,Cytoplasmic,0.9435,None,None,o,0,0,i,414,WP_000506531.1,66.667,12,414,843,3.9,22.7
WP_001829326.1,None,Unknown,ABC transporter ATP-binding protein ,OTHER,1,None,Cytoplasmic Membrane,0.8321,None,None,o,0,0,i,359,WP_000090316.1,35,40,359,693,2.7,23.1
WP_001829330.1,None,Unknown,hypothetical protein ,OTHER,1,None,Extracellular,0.4976,None,None,o,0,0,i,115,WP_000792564.1,57.143,21,115,436,0.074,25.4
WP_001829332.1,None,Unknown,ATP-binding cassette domain-containing protein ,OTHER,1,None,Cytoplasmic,0.7148,None,None,o,0,0,i,752,WP_001096791.1,46.667,30,752,230,0.005,32.3
WP_001829337.1,None,Unknown,DUF443 domain-containing protein ,OTHER,1,None,Cytoplasmic Membrane,0.9773,None,None,i69-91o95-114i135-157o172-194i,4,4,i71-91o97-114i135-160o172-193i,207,WP_001242318.1,32,25,207,433,1.7,22.7
WP_001829338.1,None,Unknown,oligopeptide ABC transporter permease ,OTHER,1,None,Cytoplasmic Membrane,1,None,None,i5-27o97-119i132-154o164-186i225-247o275-297i,6,6,i9-27o99-119i131-151o171-190i225-251o271-297i,308,WP_000918667.1,47.368,19,308,1183,8.8,21.2
WP_001829340.1,None,Unknown,glutamate synthase subunit beta ,OTHER,1,None,Cytoplasmic,0.7259,None,None,o,0,0,i,487,WP_000684567.1,46.429,28,487,360,0.029,29.6
WP_001829347.1,None,Unknown,GNAT family N-acetyltransferase ,OTHER,1,None,Cytoplasmic,0.9743,None,None,o,0,0,i,176,WP_001019219.1,50,22,176,194,1.7,21.9
WP_001829349.1,None,Unknown,DUF2294 domain-containing protein ,OTHER,1,None,Cytoplasmic,0.9398,None,None,o,0,0,i,122,WP_000193707.1,34.615,52,122,468,5.8,20
WP_001829355.1,None,Unknown,VOC family protein ,OTHER,1,None,Cytoplasmic,0.9944,None,None,o,0,0,i,127,WP_000684567.1,70,10,127,360,9.2,19.6
WP_001829360.1,None,Cytoplasmic_membrane,xanthine permease PbuX ,OTHER,1,None,Cytoplasmic Membrane,0.9996,None,None,o10-29i36-55o59-81i88-107o117-139i152-169o174-196i225-247o262-281i302-324o329-351i358-380o390-412i,13,13,o12-29i36-55o61-81i88-111o117-140i152-170o176-196i217-237o262-279i300-319o325-348i360-380o386-409i,422,WP_000184947.1,24.074,54,422,273,4.6,22.3
WP_001829362.1,None,Unknown,YibE_F family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,o4-19i24-46o50-72i79-98o126-148i180-202o222-244i,7,5,n3-14c19/20o35-68i80-98o125-146i178-201o221-246i,261,None,None,None,None,None,None,None
WP_001829367.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.7547,None,None,o,0,0,i,80,WP_000123165.1,50,20,80,422,1.1,21.2
WP_001829369.1,None,Cytoplasm,PLP-dependent cysteine synthase family protein ,OTHER,1,None,Cytoplasmic,0.9922,None,None,o,0,0,i,302,WP_000532966.1,50,16,302,238,8.9,20.8
WP_001829373.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic Membrane,0.8111,None,None,i36-55o,1,1,o36-56i,92,WP_000334465.1,30.303,33,92,601,0.54,22.3
WP_001829374.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic Membrane,0.9921,None,None,i7-24o29-48i55-74o,3,3,o6-23i30-49o55-75i,82,WP_000894660.1,46.154,13,82,749,7.4,18.9
WP_001829376.1,None,Unknown,tyrosine-type recombinase_integrase ,OTHER,0.786298,None,Cytoplasmic,0.9498,None,None,o,0,0,i,194,WP_000202192.1,44,25,194,490,4.7,21.2
WP_001829377.1,None,Unknown,recombination mediator RecR ,OTHER,1,None,Cytoplasmic,0.9732,None,None,o,0,0,i,198,WP_000120494.1,45,20,198,412,4.4,21.2
WP_001829379.1,None,Unknown,NUDIX domain-containing protein ,OTHER,1,None,Cytoplasmic,0.99,None,None,o,0,0,i,128,WP_001242318.1,63.636,11,128,433,7.9,19.6
WP_001829380.1,None,Unknown,autolysin_adhesin Aae ,SP,0.999055,CS pos: 25-26. Pr: 0.9730,Extracellular,0.999,None,None,o,0,0,n7-18c25/26o,324,WP_000717381.1,49.645,141,324,267,5.14E-27,100
WP_001829386.1,None,Cytoplasm,bifunctional cystathionine gamma-lyase_homocysteine desulfhydrase ,OTHER,1,None,Cytoplasmic,0.9942,None,None,o,0,0,i,381,WP_000840574.1,45,20,381,315,3.7,22.7
WP_001829387.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.7558,None,None,o,0,0,i,300,WP_000610306.1,42.105,38,300,1166,3.5,22.3
WP_001829391.1,None,Unknown,YeiH family protein ,OTHER,1,None,Cytoplasmic Membrane,0.9997,None,None,i7-26o31-48i69-88o93-115i122-144o154-176i183-205o220-236i249-271o275-297i308-330o,11,11,i7-25o31-48i69-87o93-111i123-145o151-172i184-205o217-236i248-268o274-296i308-330o,331,WP_000046076.1,40.625,32,331,402,5.6,21.9
WP_001829393.1,None,Unknown,sodium-dependent transporter ,OTHER,1,None,Cytoplasmic Membrane,0.9996,None,None,i12-34o44-66i87-121o141-163i176-195o215-237i250-272o300-322i342-364o379-401i417-439o,11,11,i12-30o36-59i94-122o142-161i173-192o212-239i251-272o292-320i341-360o380-401i421-441o,442,WP_000219066.1,22.472,89,442,329,8.1,21.9
WP_001829400.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.9109,None,None,o,0,0,i,221,WP_000037075.1,47.619,21,221,405,7.3,20.8
WP_001829404.1,None,Unknown,LysR family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.9743,None,None,o,0,0,i,273,WP_000354303.1,36.364,33,273,204,8,20.8
WP_001829405.1,None,Unknown,GTP-binding protein ,OTHER,1,None,Cytoplasmic,0.9663,None,None,o,0,0,i,400,WP_000043634.1,47.368,19,400,705,9,21.6
WP_001829410.1,None,Unknown,xanthine phosphoribosyltransferase ,OTHER,1,None,Cytoplasmic,0.8768,None,None,o,0,0,i,192,WP_000631963.1,47.619,21,192,466,4.6,21.2
WP_001829411.1,None,Unknown,general stress protein ,OTHER,1,None,Cytoplasmic,0.8721,None,None,o,0,0,i,135,WP_000763768.1,71.852,135,135,135,1.17E-69,200
WP_001829412.1,None,Unknown,DNA polymerase III subunit gamma_tau ,OTHER,1,None,Cytoplasmic,0.9572,None,None,o,0,0,i,568,WP_000728056.1,61.538,13,568,340,0.98,25
WP_001829413.1,None,Cytoplasmic_membrane,NADH dehydrogenase subunit 5 ,OTHER,0.99996,None,Cytoplasmic Membrane,0.9995,None,None,o5-27i34-56o71-90i102-119o157-179i199-216o226-248i261-283o305-327i348-367o377-396i403-425o440-462i,13,13,o6-26i38-57o69-90i102-118o124-140i161-183o195-214i259-280o300-328i349-368o374-394i401-421o441-462i,498,WP_000129411.1,25.714,70,498,411,1,25
WP_001829416.1,None,Unknown,GNAT family N-acetyltransferase ,OTHER,1,None,Cytoplasmic,0.966,None,None,o,0,0,i,172,WP_000167269.1,50,14,172,244,7.5,20.4
WP_001829417.1,None,Unknown,ATP phosphoribosyltransferase regulatory subunit ,OTHER,1,None,Cytoplasmic,0.9991,None,None,o,0,0,i,270,WP_000129411.1,40.741,27,270,411,3.2,22.3
WP_001829419.1,None,Unknown,histidinol dehydrogenase ,OTHER,1,None,Cytoplasmic,0.996,None,None,o,0,0,i,414,WP_001148586.1,38.462,26,414,249,8.2,21.6
WP_001829421.1,None,Unknown,Lrp_AsnC family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.8763,None,None,o,0,0,i,136,WP_000133954.1,52.941,17,136,391,5.2,20.4
WP_001829422.1,None,Unknown,pyroglutamyl-peptidase I ,OTHER,1,None,Cytoplasmic,0.9988,None,None,o,0,0,i,212,WP_000167867.1,44.828,29,212,302,5,21.2
WP_001829423.1,None,Unknown,YceI family protein ,OTHER,1,None,Cytoplasmic,0.9653,None,None,o,0,0,i,171,WP_000894660.1,36.364,22,171,749,6.7,20.4
WP_001829424.1,None,Unknown,ATP phosphoribosyltransferase ,OTHER,1,None,Cytoplasmic,0.9947,None,None,o,0,0,i,204,WP_000391031.1,45.455,22,204,470,2.5,22.3
WP_001829426.1,None,Unknown,arylamine N-acetyltransferase family protein ,OTHER,1,None,Cytoplasmic,0.9792,None,None,o,0,0,i,261,WP_000149404.1,75,12,261,555,3.4,22.3
WP_001829430.1,None,Unknown,tubby C-terminal domain-like protein ,OTHER,1,None,Cytoplasmic Membrane,0.888,None,None,o,0,0,i,186,WP_000617735.1,37.209,43,186,190,2.4,21.9
WP_001829431.1,None,Unknown,imidazole glycerol phosphate synthase subunit HisF ,OTHER,1,None,Cytoplasmic,0.9782,None,None,o,0,0,i,252,WP_001788197.1,54.545,11,252,1198,5.8,21.6
WP_001829433.1,None,Unknown,SMP-30_gluconolactonase_LRE family protein ,OTHER,1,None,Cytoplasmic,0.9216,None,None,o,0,0,i,325,WP_000127570.1,63.158,19,325,433,0.94,24.3
WP_001829434.1,None,Unknown,rhodanese-related sulfurtransferase ,OTHER,1,None,Cytoplasmic,0.9744,None,None,o,0,0,i,320,WP_000974882.1,50,20,320,502,8,21.6
WP_001829438.1,None,Unknown,YjdF family protein ,OTHER,1,None,Cytoplasmic,0.9962,None,None,o,0,0,i,135,WP_000076690.1,47.059,17,135,698,0.86,22.7
WP_001829439.1,None,Unknown,imidazole glycerol phosphate synthase subunit HisH ,OTHER,1,None,Cytoplasmic,0.9968,None,None,o,0,0,i,192,WP_001200748.1,36.364,22,192,336,0.58,23.9
WP_001829440.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.9208,None,None,o,0,0,i,138,WP_000749795.1,69.231,13,138,759,7,20
WP_001829441.1,None,Unknown,L-lactate dehydrogenase ,OTHER,1,None,Cytoplasmic Membrane,0.6515,None,None,o,0,0,n9-17c22/23o,498,WP_001130051.1,83.333,498,498,498,0,877
WP_001829442.1,None,Unknown,immunodominant staphylococcal antigen IsaB family protein ,SP,0.997641,CS pos: 35-36. Pr: 0.9258,Extracellular,0.9952,None,None,o,0,0,n7-15c20/21o,170,WP_000428172.1,54.545,11,170,91,7.5,19.6
WP_001829444.1,None,Cytoplasm,1-_5-phosphoribosyl_-5-__5-phosphoribosylamino_methylideneamino_imidazole-4-carboxamide isomerase ,OTHER,1,None,Cytoplasmic,0.9747,None,None,o,0,0,i,234,WP_001124525.1,53.846,13,234,438,4.3,21.6
WP_001829451.1,None,Unknown,hypothetical protein ,OTHER,1,None,Cytoplasmic,0.5695,None,None,o,0,0,i,78,WP_000358498.1,45.455,22,78,227,5.4,18.9
WP_001829461.1,None,Cytoplasm,aspartate kinase ,OTHER,1,None,Cytoplasmic,0.9483,None,None,o,0,0,i,458,WP_000897132.1,40,25,458,818,1.4,24.6
WP_001829463.1,None,Unknown,RicAFT regulatory complex protein RicA family protein ,OTHER,1,None,Cytoplasmic,0.8757,None,None,o,0,0,i,121,WP_000052590.1,50,18,121,557,4.1,20.4
WP_001829465.1,None,Unknown,RNase P modulator RnpM ,OTHER,1,None,Cytoplasmic,0.9822,None,None,i,0,0,i,94,WP_000855505.1,43.75,16,94,701,8.3,18.9
WP_001829466.1,None,Unknown,tRNA ,OTHER,1,None,Cytoplasmic,0.9969,None,None,o,0,0,i,245,WP_000985472.1,40,20,245,277,7,20.8
WP_001829468.1,None,Cytoplasm,DNA-processing protein DprA ,OTHER,1,None,Cytoplasmic,0.9005,None,None,o,0,0,i,290,WP_001096494.1,34.483,29,290,237,4.6,21.9
WP_001829470.1,None,Unknown,CinA family nicotinamide mononucleotide deamidase-related protein ,OTHER,1,None,Cytoplasmic,0.9811,None,None,o,0,0,i,381,WP_000813555.1,50,22,381,546,0.44,25.8
WP_001829471.1,None,Unknown,glycerol-3-phosphate responsive antiterminator ,OTHER,1,None,Cytoplasmic,0.8238,None,None,o,0,0,i,177,WP_001074508.1,44.444,18,177,1256,6.1,20.8
WP_001829480.1,None,Unknown,energy coupling factor transporter S component ThiW ,OTHER,1,None,Cytoplasmic Membrane,0.9991,None,None,o6-28i37-59o64-86i98-120o130-152i,5,5,o6-25i37-58o70-90i102-120o132-152i,164,WP_001151902.1,61.905,21,164,635,0.022,28.1
WP_001829481.1,None,Unknown,hypothetical protein ,OTHER,0.999975,None,Cytoplasmic,0.9109,None,None,i,0,0,i,65,WP_001048286.1,50,22,65,2478,0.43,21.6
WP_001829485.1,None,Unknown,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase ,OTHER,1,None,Cytoplasmic Membrane,0.9999,None,None,i7-29o86-108i129-151o161-183i,4,5,o12-31i43-64o84-109i130-150o162-183i,193,WP_001048286.1,50,14,193,2478,3.2,21.9
WP_001829488.1,None,Unknown,MerR family transcriptional regulator ,OTHER,1,None,Cytoplasmic,0.9603,None,None,i,0,0,i,121,WP_001167887.1,46.429,28,121,697,4.8,20.4
WP_001829495.1,None,Unknown,ribosome biogenesis GTPase YlqF ,OTHER,1,None,Cytoplasmic,0.9633,None,None,o,0,0,i,287,WP_001218732.1,52.778,36,287,365,0.000196,35.4
WP_001829496.1,None,Unknown,thiamine-binding protein ,OTHER,1,None,Cytoplasmic,0.9984,None,None,o,0,0,i,96,WP_001206093.1,50,16,96,475,4.8,19.6
WP_001829498.1,None,Unknown,ATP-dependent protease subunit HslV ,OTHER,1,None,Cytoplasmic,0.9761,None,None,o,0,0,i,180,WP_000645780.1,50,12,180,772,9.5,20
WP_001829499.1,None,Unknown,phosphatidate cytidylyltransferase ,OTHER,1,None,Cytoplasmic Membrane,0.9991,None,None,i12-34o49-66i73-95o100-122i129-151o171-190i197-219o239-258i,8,7,o6-37i49-67o73-95i102-123o129-150i171-190o196-216i,260,WP_000225837.1,27.273,22,260,286,4.9,21.6
WP_001829501.1,None,Unknown,RIP metalloprotease RseP ,OTHER,1,None,Cytoplasmic Membrane,0.9991,None,None,o4-21i172-194o312-331i352-374o401-420i,5,5,o6-24i172-196o312-331i352-372o401-420i,428,WP_000862083.1,38.462,26,428,568,8.7,21.6
WP_001829504.1,None,Unknown,MIP_aquaporin family protein ,OTHER,1,None,Cytoplasmic Membrane,0.997,None,None,o5-27i40-62o82-104i131-153o163-185i211-233o237-259i,7,7,o6-25i37-62o82-104i130-151o163-184i209-232o238-259i,274,WP_000168845.1,52.632,19,274,253,8.4,20.8
WP_001829509.1,None,Unknown,30S ribosome-binding factor RbfA ,OTHER,1,None,Cytoplasmic,0.9968,None,None,i,0,0,i,116,WP_000769720.1,50,20,116,190,2.1,21.2
WP_001829513.1,None,Unknown,proline--tRNA ligase ,OTHER,1,None,Cytoplasmic,0.9997,None,None,o,0,0,i,567,WP_000897132.1,58.824,17,567,818,6,22.7
