qseqid	sseqid	pident	length	evalue	bitscore
WP_002437688.1	sp|Q53654|CNA_STAAU	32.432	37	1	18.1
WP_001829900.1	sp|Q8NW39|ISDH_STAAW	32.143	28	1	20.8
WP_001832190.1	sp|Q2FE03|FNBA_STAA3	32.143	28	1	21.9
WP_001829713.1	sp|Q2FJ77|SDRE_STAA3	31.818	22	1	18.5
WP_001831672.1	sp|Q53654|CNA_STAAU	31.579	38	1	21.2
WP_001830471.1	sp|O33635|ATL_STAEP	31.429	70	1	22.7
WP_002438878.1	sp|Q7A656|ISDB_STAAN	31.373	51	1	21.9
WP_002487864.1	sp|Q7A656|ISDB_STAAN	30.556	36	1	23.9
WP_001830164.1	sp|O33635|ATL_STAEP	29.333	75	1	21.2
WP_001830359.1	sp|Q2FJ77|SDRE_STAA3	28.947	38	1	21.9
WP_001831067.1	sp|Q53654|CNA_STAAU	28.926	121	1	21.9
WP_002457116.1	sp|Q2FE03|FNBA_STAA3	28.571	56	1	22.7
WP_002440192.1	sp|O86487|SDRC_STAAE	27.273	66	1	21.9
WP_002469574.1	sp|A6QF98|EMP_STAAE	27.273	66	1	22.3
WP_086886647.1	sp|Q2FJ77|SDRE_STAA3	27.273	55	1	23.1
WP_001831217.1	sp|A0A0H2XI99|ESXA_STAA3	26.829	41	1	20.4
WP_001832485.1	sp|A6QF98|EMP_STAAE	25.806	62	1	21.2
WP_002456033.1	sp|A6QF98|EMP_STAAE	25.455	55	1	21.9
WP_002457107.1	sp|O33635|ATL_STAEP	25.287	87	1	22.3
WP_001829895.1	sp|O33635|ATL_STAEP	25	64	1	22.7
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	25	60	1	21.9
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	25	60	1	21.9
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	25	60	1	21.9
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	25	60	1	21.9
WP_001830787.1	sp|Q2G2B2|SASG_STAA8	25	60	1	21.9
WP_049387478.1	sp|Q53654|CNA_STAAU	25	100	1	21.9
WP_001831717.1	sp|Q7A656|ISDB_STAAN	24.324	37	1	21.6
WP_001829680.1	sp|Q5HCR7|CLFB_STAAC	24.242	66	1	21.9
WP_001829810.1	sp|Q53654|CNA_STAAU	23.81	42	1	21.2
WP_001829810.1	sp|Q53654|CNA_STAAU	23.81	42	1	21.2
WP_001832310.1	sp|Q8NW39|ISDH_STAAW	23.469	98	1	22.7
WP_002489285.1	sp|Q2G2B2|SASG_STAA8	23.377	77	1	21.9
WP_002438506.1	sp|Q2FJ77|SDRE_STAA3	23.256	43	1	21.9
WP_001830004.1	sp|Q2FJ78|SDRD_STAA3	20.339	59	1	23.1
WP_002456429.1	sp|Q53654|CNA_STAAU	64.706	17	1.1	22.3
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001829253.1	sp|Q2G2B2|SASG_STAA8	63.158	19	1.1	22.7
WP_001830775.1	sp|O86487|SDRC_STAAE	52.941	17	1.1	21.9
WP_002494500.1	tr|A0A1L7H885|A0A1L7H885_STAAU	52.632	19	1.1	21.2
WP_002485785.1	sp|Q2FHV1|ISDA_STAA3	51.282	39	1.1	23.1
WP_001831060.1	sp|Q2FE03|FNBA_STAA3	50	14	1.1	22.3
WP_002456052.1	sp|Q2FUW1|SRAP_STAA8	50	24	1.1	21.9
WP_001831110.1	sp|P80544|PLS_STAAU	47.368	19	1.1	19.2
WP_002439062.1	sp|P80544|PLS_STAAU	47.059	17	1.1	22.3
WP_001832176.1	sp|O33635|ATL_STAEP	46.667	30	1.1	21.2
WP_225973519.1	sp|Q2G2B2|SASG_STAA8	46.667	15	1.1	21.2
WP_001831104.1	sp|Q53654|CNA_STAAU	44.444	27	1.1	22.3
WP_002439655.1	sp|Q8NW39|ISDH_STAAW	44.444	36	1.1	23.5
WP_002470243.1	sp|Q2FJ78|SDRD_STAA3	44.444	18	1.1	20.4
WP_001831965.1	sp|Q2FJ78|SDRD_STAA3	44	25	1.1	20
WP_001831332.1	sp|O33635|ATL_STAEP	43.75	16	1.1	18.5
WP_001831117.1	sp|Q8NW39|ISDH_STAAW	43.59	39	1.1	21.2
WP_001829639.1	sp|O33635|ATL_STAEP	42.857	21	1.1	21.2
WP_001832142.1	sp|Q2FHV1|ISDA_STAA3	42.5	40	1.1	20.4
WP_001833002.1	sp|Q2FJ78|SDRD_STAA3	42.105	19	1.1	20.4
WP_001829324.1	sp|Q2FUW1|SRAP_STAA8	41.667	24	1.1	22.3
WP_001829376.1	sp|Q8NW39|ISDH_STAAW	41.379	29	1.1	21.2
WP_001829465.1	sp|P80544|PLS_STAAU	40	15	1.1	19.6
WP_002438147.1	sp|Q2FUW1|SRAP_STAA8	40	35	1.1	22.7
WP_002469379.1	sp|Q8NW39|ISDH_STAAW	40	30	1.1	21.2
WP_002437636.1	sp|Q53654|CNA_STAAU	39.286	28	1.1	21.6
WP_002485342.1	sp|Q53654|CNA_STAAU	38.71	31	1.1	22.7
WP_002489903.1	tr|Q6T1I1|Q6T1I1_STAAU	38.71	31	1.1	20
WP_049387501.1	tr|A0A1L7H885|A0A1L7H885_STAAU	38.462	26	1.1	21.2
WP_001829893.1	sp|Q2FJ77|SDRE_STAA3	38.235	34	1.1	19.6
WP_001831685.1	sp|Q2FJ78|SDRD_STAA3	37.931	29	1.1	21.9
WP_002438333.1	sp|Q2FE03|FNBA_STAA3	37.931	29	1.1	21.2
WP_049387545.1	sp|A6QF98|EMP_STAAE	37.705	61	1.1	21.6
WP_001830750.1	sp|Q2G2B2|SASG_STAA8	37.5	24	1.1	22.3
WP_002437185.1	sp|Q53654|CNA_STAAU	37.5	24	1.1	20
WP_080036160.1	sp|A6QF98|EMP_STAAE	37.037	27	1.1	21.9
WP_280114369.1	sp|A6QF98|EMP_STAAE	37.037	27	1.1	21.9
WP_000221967.1	sp|Q53654|CNA_STAAU	36.364	22	1.1	19.6
WP_001830977.1	sp|A0A0H2XI99|ESXA_STAA3	36.364	33	1.1	22.7
WP_001831058.1	sp|Q53653|CLFA_STAAE	36.364	22	1.1	22.3
WP_002456769.1	sp|Q2FJ78|SDRD_STAA3	36.111	36	1.1	22.7
WP_002489842.1	sp|O33635|ATL_STAEP	36	25	1.1	23.5
WP_002438495.1	sp|Q2FJ77|SDRE_STAA3	35.484	31	1.1	21.6
WP_002457357.1	sp|Q2G2B2|SASG_STAA8	35.484	31	1.1	22.7
WP_002438959.1	sp|Q8NW39|ISDH_STAAW	35.185	54	1.1	21.6
WP_002438878.1	sp|O33635|ATL_STAEP	35	40	1.1	21.9
WP_001829752.1	sp|Q2FE03|FNBA_STAA3	34.783	23	1.1	19.2
WP_002476769.1	sp|Q53654|CNA_STAAU	34.286	35	1.1	21.2
WP_001830396.1	sp|Q8NW39|ISDH_STAAW	34.091	44	1.1	21.2
WP_002438783.1	sp|O33635|ATL_STAEP	34.043	47	1.1	20.8
WP_001831020.1	sp|P80544|PLS_STAAU	33.333	39	1.1	22.3
WP_001832330.1	sp|Q5HCR7|CLFB_STAAC	33.333	21	1.1	18.5
WP_001832565.1	sp|Q53654|CNA_STAAU	33.333	36	1.1	20
WP_001832565.1	sp|Q53654|CNA_STAAU	33.333	36	1.1	20
WP_001831043.1	sp|P80544|PLS_STAAU	32.692	52	1.1	22.3
WP_001831274.1	sp|Q7A656|ISDB_STAAN	32.353	34	1.1	20.4
WP_001830470.1	sp|Q7A656|ISDB_STAAN	32.143	28	1.1	21.6
WP_001830786.1	sp|Q2FE03|FNBA_STAA3	32.143	28	1.1	21.2
WP_001830935.1	sp|O33635|ATL_STAEP	32.143	28	1.1	18.9
WP_001832305.1	sp|Q2FE03|FNBA_STAA3	32	50	1.1	22.7
WP_002456525.1	sp|Q53654|CNA_STAAU	31.915	47	1.1	21.6
WP_002469355.1	sp|Q53654|CNA_STAAU	31.884	69	1.1	20.4
WP_002469355.1	sp|Q53654|CNA_STAAU	31.884	69	1.1	20.4
WP_001830760.1	sp|Q2FJ78|SDRD_STAA3	31.818	44	1.1	23.5
WP_001831977.1	sp|Q2G2B2|SASG_STAA8	31.746	63	1.1	22.7
WP_001830429.1	sp|Q7A656|ISDB_STAAN	31.25	48	1.1	22.3
WP_001831354.1	sp|P80544|PLS_STAAU	30.769	26	1.1	19.2
WP_001832101.1	sp|Q2FE03|FNBA_STAA3	30.769	26	1.1	21.2
WP_001831303.1	tr|A0A1L7H885|A0A1L7H885_STAAU	30.435	23	1.1	19.6
WP_001832224.1	sp|Q2FHV1|ISDA_STAA3	30.189	53	1.1	21.6
WP_001830624.1	sp|O33635|ATL_STAEP	30	30	1.1	23.5
WP_002494483.1	sp|Q2FE03|FNBA_STAA3	29.63	54	1.1	20.8
WP_001832877.1	sp|O33635|ATL_STAEP	29.545	44	1.1	21.9
WP_002456200.1	sp|Q2G2B2|SASG_STAA8	29.412	51	1.1	21.6
WP_001829279.1	sp|Q2FE03|FNBA_STAA3	29.268	82	1.1	23.1
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001831050.1	sp|Q2G2B2|SASG_STAA8	29.268	41	1.1	21.9
WP_001829387.1	sp|Q8NW39|ISDH_STAAW	28.571	49	1.1	21.9
WP_001830465.1	sp|Q2FJ78|SDRD_STAA3	28.571	28	1.1	20.4
WP_001830619.1	sp|A6QF98|EMP_STAAE	28.571	98	1.1	20
WP_002457224.1	sp|Q2FE03|FNBA_STAA3	28.571	21	1.1	18.9
WP_002457086.1	sp|O86487|SDRC_STAAE	28.205	39	1.1	19.6
WP_001831980.1	sp|Q2G2B2|SASG_STAA8	28.169	71	1.1	22.3
WP_001829791.1	sp|O33635|ATL_STAEP	28.07	57	1.1	21.2
WP_002438150.1	sp|A6QF98|EMP_STAAE	27.907	43	1.1	21.6
WP_002438008.1	sp|Q2FJ78|SDRD_STAA3	27.857	140	1.1	22.7
WP_001829591.1	sp|O33635|ATL_STAEP	27.82	133	1.1	22.7
WP_002456851.1	sp|P80544|PLS_STAAU	27.473	91	1.1	21.2
WP_002456851.1	sp|P80544|PLS_STAAU	27.473	91	1.1	21.2
WP_002456851.1	sp|P80544|PLS_STAAU	27.473	91	1.1	21.2
WP_001831654.1	sp|Q2FE03|FNBA_STAA3	27.397	73	1.1	21.9
WP_001830413.1	sp|O33635|ATL_STAEP	27.273	44	1.1	21.9
WP_001831193.1	sp|A0A0H2XI99|ESXA_STAA3	27.027	37	1.1	20.4
WP_001829889.1	sp|Q8NW39|ISDH_STAAW	26.606	109	1.1	22.7
WP_001830165.1	sp|Q2FJ77|SDRE_STAA3	26.582	79	1.1	21.6
WP_002456995.1	sp|O33635|ATL_STAEP	26.23	61	1.1	21.9
WP_001830017.1	tr|A0A390J584|A0A390J584_STAAU	26	50	1.1	20.8
WP_002446283.1	sp|Q2FJ77|SDRE_STAA3	25.806	31	1.1	21.9
WP_002470194.1	sp|Q7A656|ISDB_STAAN	25.758	66	1.1	23.1
WP_001830867.1	sp|Q7A656|ISDB_STAAN	25	108	1.1	22.7
WP_001831967.1	sp|Q7A656|ISDB_STAAN	25	40	1.1	18.5
WP_002456711.1	sp|Q53654|CNA_STAAU	23.944	71	1.1	21.6
WP_049387542.1	sp|Q53653|CLFA_STAAE	23.881	67	1.1	21.9
WP_002470194.1	sp|Q53654|CNA_STAAU	23.81	84	1.1	23.1
WP_002470194.1	sp|Q53654|CNA_STAAU	23.81	84	1.1	23.1
WP_001829787.1	sp|Q53654|CNA_STAAU	23.118	186	1.1	21.9
WP_001831075.1	sp|O86487|SDRC_STAAE	22.857	35	1.1	20
WP_001830779.1	sp|Q8NW39|ISDH_STAAW	22.5	120	1.1	21.2
WP_000344142.1	sp|Q2FJ78|SDRD_STAA3	22.472	89	1.1	22.7
WP_002489661.1	sp|Q8NW39|ISDH_STAAW	22.414	58	1.1	20.4
WP_032604652.1	sp|Q2FJ78|SDRD_STAA3	22.222	27	1.1	18.5
WP_083553765.1	sp|O33635|ATL_STAEP	21.176	85	1.1	21.9
WP_001831169.1	sp|Q5HCR7|CLFB_STAAC	20.253	79	1.1	22.7
WP_002438516.1	sp|Q2FJ78|SDRD_STAA3	18.987	79	1.1	20.4
WP_002438541.1	sp|Q8NW39|ISDH_STAAW	66.667	9	1.2	18.1
WP_001829898.1	sp|Q2FE03|FNBA_STAA3	58.333	12	1.2	19.6
WP_001833080.1	sp|Q2FHV1|ISDA_STAA3	57.143	14	1.2	22.3
WP_002437214.1	sp|Q2FUW1|SRAP_STAA8	52.941	17	1.2	21.6
WP_001829387.1	sp|Q2FUW1|SRAP_STAA8	52.632	38	1.2	21.6
WP_001829416.1	sp|P80544|PLS_STAAU	50	18	1.2	20.8
WP_001830128.1	sp|Q7A656|ISDB_STAAN	50	20	1.2	20.8
WP_002456550.1	sp|P80544|PLS_STAAU	50	14	1.2	18.1
WP_002456550.1	sp|P80544|PLS_STAAU	50	14	1.2	18.1
WP_002456550.1	sp|P80544|PLS_STAAU	50	14	1.2	18.1
WP_002487711.1	sp|O33635|ATL_STAEP	50	20	1.2	23.5
WP_001829672.1	sp|Q2FE03|FNBA_STAA3	47.059	17	1.2	21.2
WP_305367091.1	sp|A6QF98|EMP_STAAE	46.154	13	1.2	18.9
WP_001831133.1	tr|A0A1L7H885|A0A1L7H885_STAAU	45	20	1.2	20
WP_001832124.1	sp|O33635|ATL_STAEP	45	20	1.2	22.3
WP_001829938.1	sp|Q53653|CLFA_STAAE	44.737	38	1.2	21.6
WP_001833002.1	sp|O86487|SDRC_STAAE	42.105	19	1.2	20
WP_001833002.1	sp|Q2FJ77|SDRE_STAA3	42.105	19	1.2	20
WP_002470683.1	sp|Q2FE03|FNBA_STAA3	41.379	29	1.2	22.3
WP_002457867.1	sp|O86487|SDRC_STAAE	41.176	17	1.2	18.9
WP_002489413.1	sp|Q2FE03|FNBA_STAA3	41.176	34	1.2	22.3
WP_001631029.1	sp|Q2FE03|FNBA_STAA3	40.909	22	1.2	22.3
WP_001829985.1	sp|Q2G2B2|SASG_STAA8	40	25	1.2	22.3
WP_001832780.1	tr|A0A0U3TLJ6|A0A0U3TLJ6_STAAU	40	20	1.2	20.4
WP_001832932.1	sp|Q2G2B2|SASG_STAA8	40	20	1.2	17.3
WP_001830330.1	sp|Q53654|CNA_STAAU	39.13	23	1.2	21.2
WP_001829601.1	tr|A0A390J584|A0A390J584_STAAU	38.462	26	1.2	22.3
WP_001831952.1	sp|P80544|PLS_STAAU	38.462	26	1.2	22.3
WP_001832069.1	sp|Q8NW39|ISDH_STAAW	37.931	29	1.2	21.6
WP_001831032.1	sp|Q2G2B2|SASG_STAA8	37.143	70	1.2	23.1
WP_002457221.1	sp|Q2FE03|FNBA_STAA3	37.037	27	1.2	20.4
WP_071813262.1	sp|A6QF98|EMP_STAAE	37.037	27	1.2	21.9
WP_074356981.1	sp|A6QF98|EMP_STAAE	37.037	27	1.2	21.9
WP_278269444.1	sp|A6QF98|EMP_STAAE	37.037	27	1.2	21.9
WP_001830417.1	sp|Q53653|CLFA_STAAE	36.842	38	1.2	21.6
WP_001829251.1	sp|Q5HCR7|CLFB_STAAC	36.735	49	1.2	21.9
WP_001830015.1	sp|O33635|ATL_STAEP	36.667	30	1.2	21.9
WP_001830827.1	sp|O33635|ATL_STAEP	36.667	30	1.2	21.2
WP_002438726.1	sp|Q8NW39|ISDH_STAAW	36.667	30	1.2	18.1
WP_002438015.1	sp|P80544|PLS_STAAU	36	25	1.2	19.6
WP_002438015.1	sp|P80544|PLS_STAAU	36	25	1.2	19.6
WP_002438015.1	sp|P80544|PLS_STAAU	36	25	1.2	19.6
WP_002455929.1	sp|O86487|SDRC_STAAE	36	25	1.2	21.9
WP_002456542.1	sp|Q8NW39|ISDH_STAAW	36	25	1.2	18.1
WP_001829838.1	sp|Q2FE03|FNBA_STAA3	35.897	39	1.2	21.2
WP_002437175.1	sp|P80544|PLS_STAAU	35.714	28	1.2	21.2
WP_001829713.1	sp|Q2FJ78|SDRD_STAA3	34.783	23	1.2	18.5
WP_002456715.1	sp|Q53653|CLFA_STAAE	34.783	23	1.2	20.8
WP_001829501.1	sp|Q53654|CNA_STAAU	34.483	29	1.2	22.3
WP_001830619.1	sp|P0C047|ESXB_STAAE	34.286	35	1.2	19.6
WP_002438726.1	tr|A0A0U3TLJ6|A0A0U3TLJ6_STAAU	34.286	35	1.2	17.7
WP_001831616.1	sp|O86487|SDRC_STAAE	33.75	80	1.2	21.9
WP_001829595.1	sp|P0C047|ESXB_STAAE	33.333	21	1.2	21.2
WP_001829860.1	tr|A0A390J584|A0A390J584_STAAU	33.333	24	1.2	21.2
WP_001829923.1	sp|O33635|ATL_STAEP	33.333	36	1.2	21.9
WP_001832064.1	sp|Q2FE03|FNBA_STAA3	33.333	36	1.2	18.1
WP_002438782.1	sp|Q2FHV1|ISDA_STAA3	33.333	45	1.2	21.2
WP_002447891.1	sp|O86487|SDRC_STAAE	33.333	15	1.2	19.2
WP_002456315.1	sp|Q7A656|ISDB_STAAN	33.333	30	1.2	22.3
WP_002456943.1	sp|Q53654|CNA_STAAU	33.333	51	1.2	21.6
WP_002489842.1	sp|A0A0H2XI99|ESXA_STAA3	33.333	36	1.2	22.3
WP_001830374.1	sp|O33635|ATL_STAEP	32.727	55	1.2	21.9
WP_002437694.1	sp|O86487|SDRC_STAAE	32.353	34	1.2	22.3
WP_002456744.1	sp|P80544|PLS_STAAU	32.258	31	1.2	22.7
WP_001829761.1	sp|Q2FJ77|SDRE_STAA3	31.818	44	1.2	21.6
WP_002438783.1	sp|Q2FHV1|ISDA_STAA3	31.507	73	1.2	20.4
WP_002485130.1	sp|Q2FJ77|SDRE_STAA3	31.429	35	1.2	21.9
WP_001829747.1	sp|O33635|ATL_STAEP	31.25	32	1.2	20
WP_001829710.1	sp|Q2G2B2|SASG_STAA8	31.034	29	1.2	19.2
WP_001831509.1	sp|Q2G2B2|SASG_STAA8	31.034	29	1.2	22.7
WP_001832050.1	sp|Q2G2B2|SASG_STAA8	30.769	26	1.2	21.6
WP_001830724.1	tr|A0A1L7H885|A0A1L7H885_STAAU	30.435	23	1.2	20
WP_001832267.1	sp|Q8NW39|ISDH_STAAW	30	70	1.2	22.3
WP_001830036.1	sp|O86487|SDRC_STAAE	28.571	35	1.2	20.4
WP_001831301.1	sp|Q2G2B2|SASG_STAA8	28.571	70	1.2	22.3
WP_001831301.1	sp|Q2G2B2|SASG_STAA8	28.571	70	1.2	22.3
WP_001831301.1	sp|Q2G2B2|SASG_STAA8	28.571	70	1.2	22.3
WP_001831301.1	sp|Q2G2B2|SASG_STAA8	28.571	70	1.2	22.3
WP_001831301.1	sp|Q2G2B2|SASG_STAA8	28.571	70	1.2	22.3
WP_001831987.1	sp|Q2FJ77|SDRE_STAA3	28.571	42	1.2	21.9
WP_002456431.1	sp|O33635|ATL_STAEP	28.571	42	1.2	21.6
WP_000272781.1	sp|O86487|SDRC_STAAE	28.333	60	1.2	21.2
WP_002456849.1	sp|O86487|SDRC_STAAE	27.907	86	1.2	22.3
WP_001831571.1	sp|Q53654|CNA_STAAU	27.778	72	1.2	21.9
WP_002456744.1	sp|O33635|ATL_STAEP	27.211	147	1.2	22.7
WP_001829425.1	sp|O33635|ATL_STAEP	27.16	162	1.2	23.1
WP_001830040.1	sp|Q53653|CLFA_STAAE	26.829	41	1.2	20.4
WP_001831307.1	sp|Q53653|CLFA_STAAE	26.829	41	1.2	21.6
WP_001832548.1	sp|O33635|ATL_STAEP	26.562	64	1.2	21.6
WP_002489667.1	sp|Q7A656|ISDB_STAAN	26.531	98	1.2	23.1
WP_001830170.1	sp|Q7A656|ISDB_STAAN	26.471	68	1.2	21.9
WP_002447173.1	sp|O33635|ATL_STAEP	26.415	53	1.2	22.7
WP_001831898.1	sp|P80544|PLS_STAAU	26.316	57	1.2	22.3
WP_002469355.1	sp|Q5HCR7|CLFB_STAAC	26.316	38	1.2	20.4
WP_001830636.1	sp|O33635|ATL_STAEP	25.676	74	1.2	22.7
WP_001830839.1	sp|P80544|PLS_STAAU	25.49	51	1.2	20
WP_001830566.1	sp|O86487|SDRC_STAAE	25.455	55	1.2	21.2
WP_001830986.1	sp|Q2FJ77|SDRE_STAA3	25.352	71	1.2	21.9
WP_001829513.1	sp|O86487|SDRC_STAAE	25.263	95	1.2	22.7
WP_001830323.1	sp|O33635|ATL_STAEP	25	84	1.2	21.9
WP_001830956.1	sp|Q53654|CNA_STAAU	25	64	1.2	19.2
WP_001830956.1	sp|Q53654|CNA_STAAU	25	64	1.2	19.2
WP_002437591.1	sp|Q2FJ77|SDRE_STAA3	24.658	73	1.2	21.9
WP_001831737.1	sp|O33635|ATL_STAEP	23.81	84	1.2	22.7
WP_001833067.1	sp|Q53654|CNA_STAAU	23.81	84	1.2	22.3
WP_153647357.1	sp|Q8NW39|ISDH_STAAW	23.596	89	1.2	22.3
WP_001832728.1	sp|Q8NW39|ISDH_STAAW	20.979	143	1.2	21.9
WP_001831490.1	sp|Q2FJ77|SDRE_STAA3	20.968	62	1.2	23.1
WP_410467994.1	sp|P80544|PLS_STAAU	20	140	1.2	23.1
WP_002439565.1	sp|P0C047|ESXB_STAAE	17.778	90	1.2	21.6
WP_001829458.1	sp|Q53653|CLFA_STAAE	85.714	7	1.3	18.1
WP_001831939.1	sp|Q53653|CLFA_STAAE	69.231	13	1.3	21.6
WP_002438072.1	sp|Q2FJ78|SDRD_STAA3	53.333	15	1.3	21.2
WP_002485784.1	sp|Q7A656|ISDB_STAAN	53.333	15	1.3	21.2
WP_000733270.1	sp|Q53654|CNA_STAAU	50	16	1.3	21.6
WP_001832046.1	tr|A0A390J584|A0A390J584_STAAU	50	18	1.3	20.8
WP_001832566.1	sp|Q2FJ78|SDRD_STAA3	50	18	1.3	22.7
WP_153647357.1	sp|Q2FJ78|SDRD_STAA3	50	18	1.3	22.3
WP_001831698.1	sp|P80544|PLS_STAAU	47.368	19	1.3	22.3
WP_001831698.1	sp|P80544|PLS_STAAU	47.368	19	1.3	22.3
WP_001831698.1	sp|P80544|PLS_STAAU	47.368	19	1.3	22.3
WP_001831698.1	sp|P80544|PLS_STAAU	47.368	19	1.3	22.3
WP_001832121.1	sp|O33635|ATL_STAEP	47.368	19	1.3	20.4
WP_002439536.1	sp|O86487|SDRC_STAAE	47.368	19	1.3	21.2
WP_001831123.1	sp|O86487|SDRC_STAAE	47.059	17	1.3	21.6
WP_002456218.1	sp|Q2FE03|FNBA_STAA3	46.667	15	1.3	21.9
WP_002456488.1	sp|Q53653|CLFA_STAAE	45.833	24	1.3	21.6
WP_001830938.1	sp|Q2FE03|FNBA_STAA3	45	20	1.3	22.3
WP_162161215.1	sp|Q2FE03|FNBA_STAA3	44.444	18	1.3	17.3
WP_002456955.1	sp|Q2FJ78|SDRD_STAA3	44	25	1.3	23.9
WP_002438299.1	sp|O33635|ATL_STAEP	43.75	16	1.3	21.2
WP_001832300.1	sp|P80544|PLS_STAAU	43.478	23	1.3	23.1
WP_001831045.1	sp|O33635|ATL_STAEP	41.379	29	1.3	21.2
WP_001831221.1	sp|Q2FHV1|ISDA_STAA3	39.286	28	1.3	18.9
WP_001832596.1	sp|Q2FJ77|SDRE_STAA3	39.13	23	1.3	20.4
WP_001831091.1	sp|Q7A656|ISDB_STAAN	38.71	31	1.3	21.2
WP_077755964.1	sp|Q2FJ78|SDRD_STAA3	38.71	31	1.3	21.6
WP_001831064.1	sp|Q2G2B2|SASG_STAA8	38.095	21	1.3	21.2
WP_001829468.1	tr|A0A390J584|A0A390J584_STAAU	37.5	32	1.3	20.8
WP_001831280.1	sp|Q53653|CLFA_STAAE	37.5	16	1.3	21.6
WP_001832932.1	sp|P80544|PLS_STAAU	37.5	24	1.3	17.3
WP_002437268.1	sp|O33635|ATL_STAEP	37.5	32	1.3	22.7
WP_002438805.1	sp|Q2FUW1|SRAP_STAA8	37.5	24	1.3	23.1
WP_002456994.1	sp|Q2FE03|FNBA_STAA3	37.5	24	1.3	21.9
WP_001829811.1	sp|Q2FE03|FNBA_STAA3	37.143	35	1.3	20.4
WP_000916431.1	sp|P80544|PLS_STAAU	36.364	44	1.3	19.6
WP_002502543.1	sp|Q5HCR7|CLFB_STAAC	36.364	22	1.3	21.6
WP_002456744.1	sp|Q8NW39|ISDH_STAAW	36.111	36	1.3	22.3
WP_001829342.1	sp|Q2FJ77|SDRE_STAA3	36	25	1.3	18.9
WP_010959181.1	sp|Q2FUW1|SRAP_STAA8	36	25	1.3	22.3
WP_001832300.1	sp|O33635|ATL_STAEP	35.714	28	1.3	23.1
WP_001831861.1	sp|O33635|ATL_STAEP	35.556	45	1.3	22.3
WP_001830040.1	sp|O33635|ATL_STAEP	35.484	31	1.3	20.4
WP_002485127.1	sp|Q7A656|ISDB_STAAN	35	20	1.3	23.1
WP_002440179.1	sp|Q7A656|ISDB_STAAN	34.783	23	1.3	21.6
WP_002468316.1	sp|Q8NW39|ISDH_STAAW	34.783	23	1.3	21.6
WP_001831193.1	sp|Q2FJ77|SDRE_STAA3	34.615	26	1.3	20.8
WP_002473931.1	sp|Q2FJ78|SDRD_STAA3	34.615	26	1.3	21.2
WP_001830437.1	sp|Q2FJ78|SDRD_STAA3	34.375	32	1.3	20.4
WP_002438330.1	sp|Q2G2B2|SASG_STAA8	34.375	32	1.3	20.4
WP_080388512.1	sp|P80544|PLS_STAAU	33.803	71	1.3	26.9
WP_001829596.1	sp|Q2FUW1|SRAP_STAA8	33.333	30	1.3	21.2
WP_001832229.1	sp|Q2FUW1|SRAP_STAA8	33.333	36	1.3	20.8
WP_002457092.1	sp|Q5HCR7|CLFB_STAAC	33.333	42	1.3	21.2
WP_002485123.1	sp|P80544|PLS_STAAU	33.333	27	1.3	21.6
WP_001832548.1	sp|Q2G2B2|SASG_STAA8	32.692	52	1.3	21.2
WP_001830675.1	sp|O86487|SDRC_STAAE	32.258	31	1.3	22.3
WP_002457379.1	sp|Q5HCR7|CLFB_STAAC	32.258	31	1.3	19.6
WP_001831034.1	sp|Q2FUW1|SRAP_STAA8	32.143	28	1.3	19.6
WP_001829458.1	sp|P80544|PLS_STAAU	32	25	1.3	18.1
WP_001830840.1	sp|Q2FE03|FNBA_STAA3	32	25	1.3	21.9
WP_001829777.1	sp|Q2G2B2|SASG_STAA8	31.915	47	1.3	20.4
WP_001831637.1	sp|Q2FJ78|SDRD_STAA3	31.25	32	1.3	21.9
WP_002456565.1	sp|Q2G2B2|SASG_STAA8	30.769	65	1.3	21.9
WP_002457122.1	sp|O33635|ATL_STAEP	30.769	39	1.3	20.4
WP_002493319.1	sp|Q2FUW1|SRAP_STAA8	30	30	1.3	20
WP_001831744.1	sp|Q2G2B2|SASG_STAA8	29.825	57	1.3	22.3
WP_002470142.1	sp|Q8NW39|ISDH_STAAW	29.73	37	1.3	22.7
